
="                                             ",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)"
="                                             ",="employed",="employed",="employed",="employed",="employed",="employed",="employed",="employed",="employed",="employed",="employed",="employed"

="d_gm_died                                    ",="-0.0161",="-0.0164",="-0.0141",="-0.0145",="-0.0133",="-0.0137",="-0.0158",="-0.0159",="-0.0141",="-0.0144",="-0.0130",="-0.0132"
="                                             ",="(0.0156)",="(0.0156)",="(0.0149)",="(0.0149)",="(0.0156)",="(0.0156)",="(0.0156)",="(0.0156)",="(0.0149)",="(0.0149)",="(0.0156)",="(0.0157)"

="d_gm_died_le                                 ",="-0.110***",="-0.112***",="-0.122***",="-0.123***",="-0.110***",="-0.112***",="-0.112***",="-0.113***",="-0.122***",="-0.123***",="-0.112***",="-0.115***"
="                                             ",="(0.0371)",="(0.0380)",="(0.0371)",="(0.0374)",="(0.0375)",="(0.0387)",="(0.0385)",="(0.0390)",="(0.0370)",="(0.0375)",="(0.0388)",="(0.0398)"

="d_gm_died_CC_pr                              ",="-0.00815",="-0.000471",="",="",="-0.00630",="0.00267",="0.000875",="0.00499",="",="",="0.00304",="0.00763"
="                                             ",="(0.0114)",="(0.0115)",="",="",="(0.0115)",="(0.0117)",="(0.0118)",="(0.0124)",="",="",="(0.0120)",="(0.0128)"

="d_gm_died_le_CC_pr                           ",="-0.0768**",="-0.0603*",="",="",="-0.0791**",="-0.0651*",="-0.0648**",="-0.0509",="",="",="-0.0676**",="-0.0564*"
="                                             ",="(0.0370)",="(0.0353)",="",="",="(0.0371)",="(0.0356)",="(0.0331)",="(0.0346)",="",="",="(0.0328)",="(0.0342)"

="d_gm_died_CC_pu                              ",="",="",="0.00590",="0.00205",="0.0105",="0.00374",="",="",="0.00315",="0.00382",="0.00561",="0.00514"
="                                             ",="",="",="(0.0111)",="(0.0117)",="(0.0138)",="(0.0144)",="",="",="(0.0106)",="(0.0111)",="(0.0132)",="(0.0138)"

="d_gm_died_le_CC_pu                           ",="",="",="-0.00689",="0.000547",="-0.00508",="0.00820",="",="",="-0.00631",="0.00496",="-0.00188",="0.0137"
="                                             ",="",="",="(0.0332)",="(0.0373)",="(0.0371)",="(0.0412)",="",="",="(0.0300)",="(0.0337)",="(0.0326)",="(0.0367)"

="Sample Size                                  ",="316832",="317239",="354865",="355918",="312892",="313279",="316832",="317239",="354865",="355918",="312892",="313279"
="Clustered SE                                 ",="HH",="HH",="HH",="HH",="HH",="HH",="HH",="HH",="HH",="HH",="HH",="HH"
="First Stage Sample Size                      ",="204",="-",="466",="-",="466",="-",="204",="-",="466",="-",="466",="-"
="Interaction                                  ",="Z_pago_hora_pr_r",="Z_pago_hora_pr",="Z_pago_hora_pu_r",="Z_pago_hora_pu",="Z_pago_hora_r",="Z_pago_hora",="Z_pago_pr_r",="Z_pago_pr",="Z_pago_pu_r",="Z_pago_pu",="Z_pago_r",="Z_pago"
="First Stage                                  ",="Y",="N",="Y",="N",="Y",="N",="Y",="N",="Y",="N",="Y",="N"
="Fixed Effects                                ",="ID yq_c_loc_group_sex yq_c_o_le_5_sex yq_c_gm_died_sex",="ID yq_c_loc_group_sex yq_c_o_le_5_sex yq_c_gm_died_sex",="ID yq_c_loc_group_sex yq_c_o_le_5_sex yq_c_gm_died_sex",="ID yq_c_loc_group_sex yq_c_o_le_5_sex yq_c_gm_died_sex",="ID yq_c_loc_group_sex yq_c_o_le_5_sex yq_c_gm_died_sex",="ID yq_c_loc_group_sex yq_c_o_le_5_sex yq_c_gm_died_sex",="ID yq_c_loc_group_sex yq_c_o_le_5_sex yq_c_gm_died_sex",="ID yq_c_loc_group_sex yq_c_o_le_5_sex yq_c_gm_died_sex",="ID yq_c_loc_group_sex yq_c_o_le_5_sex yq_c_gm_died_sex",="ID yq_c_loc_group_sex yq_c_o_le_5_sex yq_c_gm_died_sex",="ID yq_c_loc_group_sex yq_c_o_le_5_sex yq_c_gm_died_sex",="ID yq_c_loc_group_sex yq_c_o_le_5_sex yq_c_gm_died_sex"
="Clustered SE                                 ",="HH_ID",="HH_ID",="HH_ID",="HH_ID",="HH_ID",="HH_ID",="HH_ID",="HH_ID",="HH_ID",="HH_ID",="HH_ID",="HH_ID"

