
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)"
="",="employed",="employed",="employed",="employed",="any_work",="any_paidwork",="employed",="employed",="employed",="employed",="employed"

="post_gm_died",="-0.00971",="0.00449",="-0.00520",="-0.00313",="0.000665",="-0.00409",="",="",="0.0531*",="-0.0353",="-0.000486"
="",="(0.0219)",="(0.0208)",="(0.0218)",="(0.0215)",="(0.0170)",="(0.0180)",="",="",="(0.0298)",="(0.0242)",="(0.0433)"

="post_gm_died_o_le_5",="0.0232",="0.0200",="0.0244",="0.0337",="0.0198",="0.00551",="",="",="0.0374",="",="0.0298"
="",="(0.0418)",="(0.0395)",="(0.0422)",="(0.0383)",="(0.0341)",="(0.0356)",="",="",="(0.0563)",="",="(0.0957)"

="post_gm_died_mom",="-0.00569",="-0.0261",="-0.00985",="-0.0239",="0.00242",="0.00726",="",="",="-0.0898**",="0.0222",="0.0136"
="",="(0.0252)",="(0.0240)",="(0.0251)",="(0.0242)",="(0.0232)",="(0.0238)",="",="",="(0.0354)",="(0.0284)",="(0.0507)"

="post_gm_died_o_le_5_mom",="-0.147***",="-0.119***",="-0.154***",="-0.134***",="-0.111**",="-0.107**",="",="",="-0.185***",="",="-0.190*"
="",="(0.0489)",="(0.0454)",="(0.0499)",="(0.0451)",="(0.0487)",="(0.0495)",="",="",="(0.0697)",="",="(0.103)"

="gm_le60_post_gm_died",="",="",="",="",="",="",="-0.0308",="",="",="",=""
="",="",="",="",="",="",="",="(0.0396)",="",="",="",=""

="gm_le60_post_gm_died_o_le_5",="",="",="",="",="",="",="0.00390",="",="",="",=""
="",="",="",="",="",="",="",="(0.0739)",="",="",="",=""

="gm_le60_post_gm_died_mom",="",="",="",="",="",="",="0.00449",="",="",="",=""
="",="",="",="",="",="",="",="(0.0507)",="",="",="",=""

="gm_le60_post_gm_died_o_le_5_mom",="",="",="",="",="",="",="-0.167*",="",="",="",=""
="",="",="",="",="",="",="",="(0.0862)",="",="",="",=""

="gm_le70_post_gm_died",="",="",="",="",="",="",="",="-0.0237",="",="",=""
="",="",="",="",="",="",="",="",="(0.0260)",="",="",=""

="gm_le70_post_gm_died_o_le_5",="",="",="",="",="",="",="",="0.0754",="",="",=""
="",="",="",="",="",="",="",="",="(0.0478)",="",="",=""

="gm_le70_post_gm_died_mom",="",="",="",="",="",="",="",="-0.00656",="",="",=""
="",="",="",="",="",="",="",="",="(0.0315)",="",="",=""

="gm_le70_post_gm_died_o_le_5_mom",="",="",="",="",="",="",="",="-0.212***",="",="",=""
="",="",="",="",="",="",="",="",="(0.0568)",="",="",=""

="post_gm_died_y_le_5",="",="",="",="",="",="",="",="",="",="0.0589**",=""
="",="",="",="",="",="",="",="",="",="",="(0.0285)",=""

="post_gm_died_y_le_5_mom",="",="",="",="",="",="",="",="",="",="-0.103***",=""
="",="",="",="",="",="",="",="",="",="",="(0.0341)",=""

="_cons",="0.532***",="0.532***",="0.532***",="0.529***",="0.678***",="0.651***",="0.532***",="0.532***",="0.502***",="0.532***",="0.506***"
="",="(0.0000744)",="(0.0000671)",="(0.0000745)",="(0.0000678)",="(0.0000787)",="(0.0000771)",="(0.0000281)",="(0.0000433)",="(0.000109)",="(0.0000746)",="(0.0119)"

="N",="743723",="861568",="749231",="933821",="743723",="743723",="743723",="743723",="743723",="743723",="3591"
="model",="Base",="unbalanced",="any_N_gp",="any_N_parents",="any_work",="any_paidwork",="gm_le60",="gm_le70",="Weights",="youngest",="DD yq_loc_group_sex"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
