
="                                             ",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="                                             ",="as_time_cuidar",="as_time_cuidar",="as_time_cuidar",="cuida",="cuida",="cuida"

="post_gm_died                                 ",="0.756**",="0.718**",="0.663**",="0.0713**",="0.0680**",="0.0614**"
="                                             ",="(0.348)",="(0.328)",="(0.326)",="(0.0328)",="(0.0308)",="(0.0310)"

="_cons                                        ",="1.120***",="1.234***",="1.256***",="0.105***",="0.115***",="0.116***"
="                                             ",="(0.00222)",="(0.00224)",="(0.00229)",="(0.000209)",="(0.000211)",="(0.000218)"

="Observations                                 ",="46639",="62366",="67896",="46639",="62366",="67896"
="SE                                           ",="HH_ID",="HH_ID",="HH_ID",="HH_ID",="HH_ID",="HH_ID"
="Fixed Effects                                ",="ID yq_c loc_group",="ID yq_c loc_group",="ID yq_c loc_group",="ID yq_c loc_group",="ID yq_c loc_group",="ID yq_c loc_group"
="Mean_Dep                                     ",=".8829777654371503",="1.06134806361746",="1.126600978007386",=".1051694933424816",=".1149985569060065",=".116619535760575"
="sample                                       ",="y_le_5 & max_eda 12 to 15 & t_gk>1 & gm_le70",="y_le_5 & max_eda 12 to 18 & t_gk>1 & gm_le70",="y_le_5 & max_eda 12 to 21 & t_gk>1 & gm_le70",="y_le_5 & max_eda 12 to 15 & t_gk>1 & gm_le70",="y_le_5 & max_eda 12 to 18 & t_gk>1 & gm_le70",="y_le_5 & max_eda 12 to 21 & t_gk>1 & gm_le70"

