name,label,source,notes
year,Year,ENOE,
per,Survey period,ENOE,raw
loc,Locality,ENOE,raw
mun,Municipality,ENOE,raw
ent,State,ENOE,raw
upm,Primary sampling unit,ENOE,raw
n_pro_viv,Progressive number of housing units,ENOE,raw
n_hog,Household number,ENOE,raw
HH_ID,Household ID,ENOE,Created using the first entry in the ID 
ID,Individual ID,ENOE,HH_ID + n_ren
n_ent,Number of interview,ENOE,raw
n_ren,Row number,ENOE,raw
year_period,Year + Quarter,ENOE,
yq_c,ID Year + Quarter,ENOE,Id by year_period
mun_full,Ent + mun,ENOE,
loc_group,ent + mun + loc,ENOE,
sex,Sex,ENOE,raw
eda,Age,ENOE,raw
n_hij,Number of children,ENOE,raw
anios_esc,Years of schooling,ENOE,raw
mom,Mother,ENOE,
dad,Father,ENOE,
gk,Grandchild,ENOE,
woman,Women,ENOE,
man,Man,ENOE,
gm,Grandmother,ENOE,
gd,Grandfather,ENOE,
gm_m_side,Grandmother on the mother's side,ENOE,
gk_m_u6,Grandchild <= 5 years old and male,ENOE,
max_eda,Max age by ID,ENOE,
max_eda_gk,Max age grandchildren,ENOE,
max_eda_gm,Max age grandmother,ENOE,
max_eda_gd,Max age grandfather,ENOE,
max_eda_gk_3,Age of grandchildren (4 brackets),ENOE,
y_le_5,Youngest grandchild at most 5 years old,ENOE,
o_le_5,Oldest grandchild at most 5 years old,ENOE,
gm_le60,Grandmother at most 60 years old,ENOE,
gm_le70,Grandmother at most 70 years old,ENOE,
t_loc,Locality size,ENOE,raw
t_gm_max,Total number of grandmothers by HH_ID,ENOE,
t_gd_max,Total number of grandfathers by HH_ID,ENOE,
t_mom_max,Total number of mothers by HH_ID,ENOE,
t_gk,Total number of grandchildren,ENOE,
t_gk_max,Total number of grandchildren by HH_ID,ENOE,
t_dad_max,Total number of fathers by HH_ID,ENOE,
t_ind_max,Household size,ENOE,
t_gm_died,Number of deaths of grandmothers,ENOE,
t_gd_died,Number of deaths of grandfathers,ENOE,
t_sec_gen_max,Total number of second generations,ENOE,
t_gk_p1,Total number of grandchildren (in N_ENT = 1),ENOE,
t_gk_m_p1,Total number of male grandchildren (in N_ENT = 1),ENOE,
t_gk_u6_p1,Total number of grandchildren < 6 years old (in N_ENT = 1),ENOE,
employed,Employed,ENOE,dummy 1 if Subordinate and salaried workers
part_time,Part time worker (<= 20 hrs),ENOE,
part_time_t2,Part time worker (<= 30 hrs),ENOE,
part_time_t2_p1,Part time worker (<= 30 hrs) (in N_ENT = 1),ENOE,
middle_time,Middle time worker (<= 30 hrs),ENOE,
full_time,Full time worker (> 30 hrs),ENOE,
full_time_p1,Full time worker (> 30 hrs) (in N_ENT = 1),ENOE,
hrsocup,Hours worked per week,ENOE,Replace with missing if they have mismatches between hours and income
ingocup,Monthly income,ENOE,Replace with missing if they have mismatches between hours and income
ing_x_hrs,Average income per hour worked,ENOE,raw
emp_ppal,Job classification (formal/informal),ENOE,raw
any_work,Individual working paid or unpaid,ENOE,"dummy 1 if Subordinate and salaried workers, Employers, Self-employed workers or Unpaid workers"
any_paidwork,Individidual working,ENOE,"dummy 1 if Subordinate and salaried workers, Employers or Self-employed workers"
edu_max,Max educational level by ID,ENOE,
eda_cat5,Age - 5 years interval categories,ENOE,
inc_f_cat10,Deciles of income,ENOE,
hrsocup_p1,Hours worked per week (in N_ENT = 1),ENOE,
ingocup_p1,Monthly income (in N_ENT = 1),ENOE,
inc_f_p1,Household income (in N_ENT = 1),ENOE,
n_hij_p1,Number of kids (in N_ENT = 1),ENOE,
f_emp_p1,Formal employment (in N_ENT = 1),ENOE,
n_624411_p0a5_20,Private daycares per child (at most 5 yrs old),Denue,Created as the number of private daycares / total population at most 5 years old
n_624412_p0a5_20,Public daycares per child (at most 5 yrs old),Denue,Created as the number of public daycares / total population at most 5 years old
fac,Expansion factor,ENOE,
fac_eness,Expansion factor eness,ENESS,
merge_denue,Matching result from merge,Denue,
merge_mun,Matching result from merge,Census,
merge_eness_format,Matching result from merge,ENESS,
merge_loc,Matching result from merge,Census,
